,Name,top_expected_goals
0,E. Haaland,20.67
1,H. Kane ,14.59
2,I. Toney ,14.55
3,Mohamed Salah ,12.51
4,Aleksandar Mitrovic ,12.30
5,M. Rashford ,11.37
6,Darwin Núñez ,10.11
7,O. Watkins ,9.53
8,C. Wilson ,9.05
9,Gabriel Jesus ,9.00
10,E. Nketiah ,7.80
11,J. Bowen ,7.77
12,B. Saka ,7.65
13,M. Ødegaard ,7.14
14,D. Ings ,6.96
15,Roberto Firmino ,6.67
16,Rodrigo ,6.66
17,S. March ,6.44
18,Gabriel Martinelli ,6.40
19,Son Heung-Min ,6.27
20,H. Barnes ,6.21
21,R. Sterling ,6.16
22,M. Almirón ,6.16
23,K. Havertz ,5.99
24,A. Mac Allister ,5.57
25,C. Adams ,5.50
26,B. Mbeumo ,5.49
27,W. Zaha ,5.46
28,D. Welbeck ,5.37
29,L. Trossard ,5.36
30,Bruno Fernandes ,5.22
31,B. Johnson ,5.06
32,D. Solanke ,4.95
33,R. Mahrez ,4.94
34,P. Bamford ,4.89
35,I. Gündogan ,4.70
36,T. Awoniyi ,4.57
37,M. Gibbs-White ,4.51
38,P. Foden ,4.44
39,J. Álvarez ,4.27
40,N. Maupay ,4.16
41,L. Bailey ,4.00
42,P. Groß ,3.94
43,A. Gordon ,3.93
44,E. Buendía ,3.76
45,Rúben Neves ,3.76
46,D. Gray ,3.67
47,J. Maddison ,3.67
48,A. Martial ,3.66
49,B. De Cordova-Reid ,3.63
50,K. De Bruyne ,3.58
51,M. Antonio ,3.48
52,S. Benrahma ,3.41
53,A. Isak ,3.40
54,K. Moore ,3.37
55,Andreas Pereira ,3.37
56,Lucas Paquetá ,3.36
57,Joe Willock ,3.35
58,Sean Longstaff ,3.35
59,O. Edouard ,3.28
60,J. Grealish ,3.26
61,Joelinton ,3.19
62,E. Eze ,3.09
63,C. Summerville ,3.04
64,Daniel Podence ,3.02
65,F. Schär ,3.00
66,Gabriel Magalhães ,2.97
67,Rodri ,2.97
68,J. Vardy ,2.94
69,K. Mitoma ,2.89
70,C. Eriksen ,2.87
71,Y. Wissa ,2.84
72,Diego Costa ,2.78
73,D. Calvert-Lewin ,2.77
74,M. Tavernier ,2.75
75,C. Wood ,2.75
76,B. Aaronson ,2.72
77,D. Undav ,2.68
78,G. Scamacca ,2.67
79,Willian ,2.66
80,K. Iheanacho ,2.65
81,C. Gakpo ,2.63
82,J. Ward-Prowse ,2.58
83,J. Harrison ,2.56
84,T. Soucek ,2.46
85,Antony ,2.44
86,L. Díaz ,2.44
87,P. Daka ,2.35
88,R. Bentancur ,2.32
89,M. Elyounoussi ,2.23
90,J. Lerma ,2.23
91,J. Mateta ,2.22
92,J. Sancho ,2.21
93,Y. Tielemans ,2.21
94,A. Mvom Onana ,2.20
95,V. van Dijk ,2.17
96,J. Tarkowski ,2.16
97,E. Ferguson ,2.12
98,G. Xhaka ,2.12
99,Ryan Sessegnon ,2.10
100,João Palhinha ,2.09
101,H. Elliott ,2.07
102,Fred ,2.07
103,M. Mount ,2.04
104,Adam Armstrong ,2.00
105,Richarlison ,1.98
106,M. Salisu ,1.97
107,Diogo Jota ,1.88
108,R. Jiménez ,1.86
109,Douglas Luiz ,1.85
110,B. Mee ,1.84
111,J. Ayodele-Aribo ,1.84
112,Matheus Nunes ,1.83
113,J. Andersen ,1.81
114,Jorginho ,1.80
115,Cristiano Ronaldo ,1.79
116,A. Iwobi ,1.76
117,João Félix ,1.76
118,T. Partey ,1.74
119,I. Perisic ,1.73
120,J. Anthony ,1.71
121,Diogo Dalot ,1.70
122,A. Garnacho Ferreyra ,1.70
123,D. James ,1.67
124,D. Rice ,1.65
125,J. Ramsey ,1.63
126,Casemiro ,1.60
127,P. Højbjerg ,1.60
128,R. Christie ,1.59
129,K. Dewsbury-Hall ,1.58
130,Rúben Dias ,1.56
131,R. Yates ,1.56
132,Bernardo Silva ,1.56
133,P. Billing ,1.55
134,Adama Traoré ,1.55
135,S. Surridge ,1.53
136,P. Sarabia ,1.50
137,Carlos Vinícius ,1.46
138,V. Janelt ,1.46
139,L. Sinisterra ,1.46
140,M. Akanji ,1.45
141,M. Olise ,1.43
142,H. Reed ,1.42
143,T. Davies ,1.41
144,M. Roca ,1.41
145,J. Schlupp ,1.41
146,W. Gnonto ,1.41
147,D. McNeil ,1.39
148,A. Oxlade-Chamberlain ,1.38
149,E. Pinnock ,1.36
150,P. Struijk ,1.36
151,D. Kulusevski ,1.36
152,Emerson Royal ,1.36
153,J. Ayew ,1.35
154,A. Webster ,1.28
155,C. Pulisic ,1.26
156,Philippe Coutinho ,1.24
157,A. Bella Kotchap ,1.23
158,R. Nelson ,1.23
159,T. Castagne ,1.21
160,K. Lewis-Potter ,1.18
161,B. Davies ,1.17
162,A. Saint-Maximin ,1.16
163,Stuart Armstrong ,1.15
164,T. Alexander-Arnold ,1.12
165,M. Jensen ,1.10
166,R. Perraud ,1.09
167,P. Aubameyang ,1.09
168,L. Cooper ,1.08
169,J. Murphy ,1.08
170,R. Ait Nouri ,1.07
171,A. Broja ,1.07
172,A. Lallana ,1.06
173,L. Dunk ,1.05
174,N. Williams ,1.04
175,Thiago Silva ,1.04
176,Gonçalo Guedes ,1.04
177,J. McGinn ,1.03
178,Fábio Carvalho ,1.03
179,C. Coady ,1.03
180,C. Dawson ,1.03
181,Dan Burn ,1.02
182,K. Zouma ,1.02
183,O. Zinchenko ,1.01
184,Fábio Vieira ,1.00
185,J. Gelhardt ,1.00
186,R. Henry ,0.99
187,A. Elanga ,0.94
188,Bruno Guimarães ,0.94
189,K. Koulibaly ,0.93
190,W. Weghorst ,0.93
191,N. Aguerd ,0.93
192,R. Loftus-Cheek ,0.93
193,S. Edozie ,0.92
194,E. Anderson ,0.92
195,H. Wilson ,0.91
196,João Cancelo ,0.89
197,S. Bajcetic ,0.88
198,C. Lenglet ,0.88
199,C. Nørgaard ,0.88
200,C. Gallagher ,0.86
201,A. Pérez ,0.85
202,N. Aké ,0.85
203,M. Kilman ,0.84
204,L. Ayling ,0.83
205,M. Caicedo ,0.83
206,Zanka ,0.79
207,A. Smith ,0.78
208,A. Guehi ,0.77
209,S. Botman ,0.76
210,W. Saliba ,0.75
211,S. Rondón ,0.75
212,C. Richards ,0.74
213,N. Patterson ,0.73
214,F. Onyeka ,0.72
215,L. Shaw ,0.72
216,S. McTominay ,0.72
217,João Moutinho ,0.71
218,C. Doucoure ,0.71
219,Pedro Neto ,0.71
220,Thiago ,0.71
221,Lewis Hall ,0.70
222,T. Cairney ,0.69
223,Matheus Cunha ,0.69
224,J. Enciso ,0.68
225,D. Ouattara ,0.68
226,M. Doherty ,0.68
227,R. James ,0.68
228,E. Dier ,0.67
229,P. Fornals ,0.66
230,J. Lingard ,0.66
231,M. Senesi ,0.66
232,P. Dasilva ,0.65
233,J. Henderson ,0.64
234,A. Laporte ,0.64
235,Tetê ,0.63
236,A. Robertson ,0.63
237,Renan Lodi ,0.63
238,J. Veltman ,0.62
239,Emerson ,0.62
240,M. Kovacic ,0.62
241,T. Mitchell ,0.62
242,L. Martínez ,0.61
243,J. Stones ,0.60
244,S. Mara ,0.59
245,E. Dennis ,0.57
246,B. Badiashile ,0.56
247,T. Kehrer ,0.56
248,N. Kebano ,0.56
249,T. Chalobah ,0.55
250,S. Greenwood ,0.55
251,Diego Carlos ,0.54
252,N. Keita ,0.54
253,A. Doucouré ,0.53
254,L. Dendoncker ,0.53
255,J. Tomkins ,0.52
256,M. Niakhaté ,0.52
257,H. Ziyech ,0.51
258,Kostas Tsimikas ,0.50
259,K. Trippier ,0.50
260,J. van Hecke ,0.49
261,K. Walker-Peters ,0.49
262,L. O'Brien ,0.48
263,V. Mykolenko ,0.47
264,S. Aurier ,0.47
265,B. Godfrey ,0.47
266,M. Damsgaard ,0.46
267,R. Varane ,0.46
268,S. Kalajdzic ,0.45
269,K. Sulemana ,0.45
270,M. Solomon ,0.45
271,M. Rasmussen ,0.44
272,H. Traore ,0.43
273,D. Praet ,0.41
274,K. Tete ,0.40
275,D. Spence ,0.40
276,W. Fofana ,0.39
277,M. Wöber ,0.39
278,T. Ream ,0.38
279,M. Cornet ,0.38
280,A. Cresswell ,0.38
281,D. Caleta-Car ,0.38
282,Fabinho ,0.38
283,R. Kristensen ,0.37
284,E. Konsa Ngoyo ,0.37
285,P. Estupiñán ,0.37
286,K. Walker ,0.36
287,B. Chilwell ,0.34
288,M. Mudryk ,0.33
289,M. Cucurella ,0.33
290,J. Milner ,0.33
291,E. Smith Rowe ,0.33
292,W. Hughes ,0.32
293,Álex Moreno ,0.32
294,M. Albrighton ,0.32
295,R. Koch ,0.31
296,Hwang Hee-Chan ,0.31
297,R. Lewis ,0.30
298,D. Llorente ,0.30
299,L. Digne ,0.30
300,R. Fraser ,0.30
301,T. Walcott ,0.29
302,M. Holgate ,0.29
303,C. Romero ,0.29
304,J. Zemura ,0.28
305,C. Chukwuemeka ,0.26
306,L. Samuels Colwill ,0.26
307,D. Zakaria ,0.25
308,C. Kouyaté ,0.25
309,C. Jones ,0.24
310,C. Mepham ,0.24
311,Ashley Young ,0.24
312,C. Azpilicueta ,0.24
313,D. Sánchez ,0.23
314,Lyanco ,0.23
315,S. Gómez ,0.22
316,J. Sarmiento ,0.22
317,R. Freuler ,0.21
318,T. Lamptey ,0.21
319,E. Onuachu ,0.21
320,F. Downes ,0.21
321,O. Mangala ,0.21
322,João Gomes ,0.21
323,J. Bednarek ,0.20
324,W. Faes ,0.20
325,B. White ,0.20
326,K. Tierney ,0.19
327,O. Ndidi ,0.19
328,Gustavo Scarpa ,0.19
329,V. Coufal ,0.19
330,S. Baptiste ,0.19
331,David Datro Fofana ,0.19
332,O. Adarabioyo ,0.19
333,L. Milivojevic ,0.18
334,H. Maguire ,0.18
335,M. Cash ,0.18
336,M. Djenepo ,0.18
337,C. Alcaraz ,0.17
338,S. Coleman ,0.17
339,J. Stansfield ,0.16
340,J. Worrall ,0.16
341,B. Gilmour ,0.16
342,Y. Mina ,0.16
343,Jonny ,0.16
344,I. Diallo ,0.15
345,L. Cook ,0.15
346,O. Skipp ,0.15
347,M. Klich ,0.15
348,T. Tomiyasu ,0.14
349,J. Justin ,0.14
350,K. Schade ,0.14
351,I. Diop ,0.13
352,E. Fernández ,0.13
353,A. Hickey ,0.13
354,M. Sabitzer ,0.12
355,A. Semenyo ,0.12
356,N. Ahamada ,0.12
357,Y. Bissouma ,0.12
358,B. Kamara ,0.12
359,E. Simms ,0.12
360,H. Toffolo ,0.12
361,W. McKennie ,0.12
362,I. Konaté ,0.12
363,H. Souttar ,0.12
364,S. Cook ,0.11
365,R. Lavia ,0.11
366,N. Madueke ,0.10
367,A. Ogbonna ,0.10
368,S. Dembélé ,0.10
369,J. Gomez ,0.10
370,J. Hodge ,0.10
371,B. Gil ,0.09
372,K. Phillips ,0.09
373,A. Ayew ,0.09
374,L. Kelly ,0.09
375,T. Malacia ,0.09
376,J. Firpo ,0.09
377,V. Kristiansen ,0.09
378,H. Bueno ,0.09
379,J. Durán ,0.08
380,I. Gueye ,0.08
381,D. Gyabi ,0.08
382,C. Palmer ,0.08
383,N. Mendy ,0.08
384,C. Campbell ,0.08
385,S. McKenna ,0.08
386,D. van de Beek ,0.08
387,D. Amartey ,0.07
388,L. Augustinsson ,0.07
389,Felipe ,0.07
390,B. Pearson ,0.07
391,E. Mwepu ,0.07
392,N. Kanté ,0.07
393,K. Ajer ,0.06
394,Nélson Semedo ,0.06
395,T. Cannon ,0.06
396,N. Chalobah ,0.06
397,S. Ghoddos ,0.06
398,Boubacar Traoré ,0.06
399,S. Canós ,0.06
400,J. Evans ,0.05
401,G. Rutter ,0.05
402,J. Garner ,0.05
403,L. Thomas ,0.05
404,M. Lanzini ,0.05
405,M. Lemina ,0.05
406,Lucas Moura ,0.04
407,T. Adams ,0.04
408,J. Matip ,0.04
409,P. Sarr ,0.04
410,J. Stacey ,0.04
411,C. Chambers ,0.04
412,J. Lascelles ,0.04
413,F. Buonanotte ,0.04
414,B. Johnson ,0.03
415,J. Ward ,0.03
416,N. Phillips ,0.03
417,T. Mings ,0.03
418,N. Collins ,0.03
419,B. Soumaré ,0.03
420,J. Stanislas ,0.03
421,S. Lukic ,0.03
422,P. Jansson ,0.02
423,J. Rothwell ,0.02
424,A. Robinson ,0.02
425,Matt Targett ,0.02
426,Danilo ,0.02
427,W. Boly ,0.02
428,A. Wan-Bissaka ,0.01
429,H. Dervisoglu ,0.01
